dataset_name	data_annotation_method	data_source	source	lexicon_corpus	split_original_manual	list_dialect_city_id	list_dialect_province_id	list_dialect_country_id	list_dialect_region_id	len_train	len_test	len_dev	train_city_details	train_province_details	train_country_details	train_region_details	test_city_details	test_province_details	test_country_details	test_region_details	dev_city_details	dev_province_details	dev_country_details	dev_region_details
aoc	['mechanical_turk_annotators']	['news_comments']	https://www.cis.upenn.edu/~ccb/data/AOC-dialectal-annotations.zip	corpus	manual	['msa', nan]	['msa', nan]	['msa', nan, 'eg']	['msa', 'gulf', 'nile_basin', 'levant']	86129	10771	10765	msa    50616	msa    50616	msa    50616, eg     10021	msa           50616, gulf          16412, nile_basin    10021, levant         9080	msa    6330	msa    6330	msa    6330, eg     1254	msa           6330, gulf          2052, nile_basin    1254, levant        1135	msa    6327	msa    6327	msa    6327, eg     1252	msa           6327, gulf          2051, nile_basin    1252, levant        1135
arabic_multi_dialect_text_corpora	['word_level']	['web_mixed']	http://almeman.weebly.com/arabic-multi-dialect-text-corpora.html	corpus	manual	[nan]	[nan]	[nan, 'eg']	['levant', 'gulf', 'maghreb', 'nile_basin']	4146594	518328	518323			eg    1012736	gulf          1383625, nile_basin    1012736, levant         914678, maghreb        835555			eg    126593	gulf          172954, nile_basin    126593, levant        114336, maghreb       104445			eg    126592	gulf          172953, nile_basin    126592, levant        114334, maghreb       104444
arap_tweet	['user_level']	['twitter']	https://www.aclweb.org/anthology/L18-1111/	corpus	manual	[nan]	[nan]	['tn', 'dz', 'sa', 'ae', 'lb, sy', 'ly', 'om', 'sd', 'kw', 'ye', 'qa', 'ps,jo', 'eg', 'ma', 'iq']	['maghreb', 'gulf', 'levant', 'nile_basin', 'gulf_aden', 'iraq']	1285779	160734	160717			ly        115616, kw        113013, sa        109979, eg        107211, ps,jo      98163, qa         92620, om         91495, iq         80138, ae         79767, lb, sy     73984, ma         73598, tn         67114, ye         66104, dz         60969, sd         56008	gulf          486874, maghreb       317297, levant        172147, nile_basin    163219, iraq           80138, gulf_aden      66104			ly        14452, kw        14128, sa        13748, eg        13402, ps,jo     12271, qa        11578, om        11438, iq        10018, ae         9972, lb, sy     9249, ma         9201, tn         8390, ye         8263, dz         7622, sd         7002	gulf          60864, maghreb       39665, levant        21520, nile_basin    20404, iraq          10018, gulf_aden      8263			ly        14452, kw        14126, sa        13747, eg        13401, ps,jo     12270, qa        11577, om        11436, iq        10017, ae         9970, lb, sy     9248, ma         9199, tn         8389, ye         8263, dz         7621, sd         7001	gulf          60856, maghreb       39661, levant        21518, nile_basin    20402, iraq          10017, gulf_aden      8263
curras	['manual_search']	['web_mixed']	https://link.springer.com/article/10.1007/s10579-016-9370-7#Tab1	corpus	original	[nan]	[nan]	['ps']	['levant']	4005	620	644			ps    4005	levant    4005			ps    620	levant    620			ps    644	levant    644
gumar	['document_level']	['forum_novel']	https://camel.abudhabi.nyu.edu/gumar/?page=publications&lang=en	corpus	original	[nan]	[nan]	['gulf', 'sa', 'msa', 'kw', 'ae', 'qa', 'ye', 'bh', 'ma', 'gulf,mixed', 'om', 'ae,sa', 'eg', 'sa,msa', 'msa,levant', nan, 'ps', 'iq', 'sa,kw', 'kw,sa', 'gulf,sd,msa', 'sa,ae', 'gulf,lb', 'bh,sa', 'ae,sa,kw', 'sa,lb', 'sa,levant']	['gulf', 'msa', 'gulf_aden', 'maghreb', 'nile_basin', 'levant', 'iraq']	6575888	1529770	991716			sa      4456263, ae       729635, gulf     530167, kw       400281, msa      223731, om       120424, qa        86379, bh        29008	gulf    6352157, msa      223731			sa      1002267, gulf     198274, msa      121618, ae        98828, kw        90280, om         8519, bh         6717, qa         3267	gulf    1408152, msa      121618			sa      635756, gulf    138832, ae      111458, kw       51814, msa      28883, om       18059, qa        5959, bh         955	gulf    962833, msa      28883
habibi	['user_level']	['song_lyrics']	https://www.aclweb.org/anthology/2020.lrec-1.165/	corpus	manual	[nan]	[nan]	['eg', 'sa', 'iq', 'sd', 'kw', 'lb', 'ae', 'ma', 'sy', 'ps', 'tn', 'ye', 'bh', 'om', 'jo', 'dz', 'ly', 'qa']	['nile_basin', 'gulf', 'iraq', 'levant', 'maghreb', 'gulf_aden']	288243	61767	61766			eg    72486, sa    51555, lb    39636, iq    39202, sd    26756, kw    14858, sy    12002, ae    11335, ma     6085, ye     3014, tn     2947, jo     2237, dz     1630, qa     1599, bh     1429, om      675, ps      550, ly      247	nile_basin    99242, gulf          81451, levant        54425, iraq          39202, maghreb       10909, gulf_aden      3014			eg    15483, sa    10927, iq     8412, lb     8394, sd     5855, kw     3222, sy     2664, ae     2402, ma     1303, ye      657, tn      637, jo      484, qa      358, dz      348, bh      304, om      144, ps      128, ly       45	nile_basin    21338, gulf          17357, levant        11670, iraq           8412, maghreb        2333, gulf_aden       657			eg    15552, sa    11046, lb     8472, iq     8345, sd     5720, kw     3231, sy     2604, ae     2428, ma     1327, ye      658, tn      629, jo      449, qa      346, dz      324, bh      308, om      146, ps      123, ly       58	nile_basin    21272, gulf          17505, levant        11648, iraq           8345, maghreb        2338, gulf_aden       658
ldc_ara_dialect_eng_para_2012_t09	['mechanical_turk_annotators']	['web_mixed']	https://catalog.ldc.upenn.edu/LDC2012T09	corpus	manual	[nan]	[nan]	['eg', nan]	['nile_basin', 'levant']	140927	17618	17615			eg    30521	levant        110406, nile_basin     30521			eg    3816	levant        13802, nile_basin     3816			eg    3815	levant        13800, nile_basin     3815
ldc_arb_gulf_cttr_2006_t15	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC2006T15	corpus	original	[nan]	[nan]	['ae', 'sa', 'om']	['gulf']	56877	1510	0			sa    34261, ae    15047, om     7569	gulf    56877			sa    736, ae    388, om    386	gulf    1510				
ldc_arb_iraq_cttr_2006_t16	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC2006T16	corpus	original	[nan]	['south_iraq', 'baghdad', 'north_iraq']	['iq']	['iraq']	25371	1635	0		baghdad       15849, south_iraq     5970, north_iraq     3552	iq    25371	iraq    25371		baghdad       838, north_iraq    406, south_iraq    391	iq    1635	iraq    1635				
ldc_arb_lev_cttr_2007_t01	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC2007T01	corpus	original	[nan]	[nan]	['jo', 'ps', 'lb', 'sy']	['levant']	58986	1480	0			ps    15592, lb    14698, sy    14505, jo    14191	levant    58986			jo    376, sy    374, ps    369, lb    361	levant    1480				
ldc_bab_arabic_2005_s08	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC2005S08/	corpus	manual	[nan]	[nan]	[nan]	['levant']	60718	7591	7589				levant    60718				levant    7591				levant    7589
ldc_bolt_sms_chat_ara_src_transliteration_2017_t07	['user_level']	['sms']	https://catalog.ldc.upenn.edu/LDC2017T07	corpus	original	[nan]	[nan]	['eg']	['nile_basin']	54857	6651	5406			eg    54857	nile_basin    54857			eg    6651	nile_basin    6651			eg    5406	nile_basin    5406
ldc_callhome_ara_transcr_suppl_2002_t38	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC2002T38	corpus	manual	[nan]	[nan]	['eg']	['nile_basin']	2191	275	273			eg    2191	nile_basin    2191			eg    275	nile_basin    275			eg    273	nile_basin    273
ldc_callhome_arabic_trans_1997_t19	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC97T19	corpus	original	['cairo', nan, 'alexandria', 'shibin_el_kom', 'minya', 'zagazig', 'asyut', 'damanhur', 'mansoura', 'giza', 'beni_suef', 'ismailia', 'luxor', 'tanta']	['cairo', nan, 'alexandria', 'monufia', 'minya', 'sharqia', 'asyut', 'beheira', 'dakahlia', 'giza', 'beni_suef', 'ismailia', 'luxor', 'gharbia']	['eg']	['nile_basin']	20093	2775	5704	cairo            7456, alexandria       1892, giza              333, zagazig           316, ismailia          291, shibin_el_kom     186, beni_suef         172, mansoura          122, asyut              82, minya              78, damanhur           29	cairo         7456, alexandria    1892, giza           333, sharqia        316, ismailia       291, monufia        186, beni_suef      172, dakahlia       122, asyut           82, minya           78, beheira         29	eg    20093	nile_basin    20093	cairo            710, alexandria       286, tanta            149, asyut             74, shibin_el_kom     50, luxor             26	cairo         710, alexandria    286, gharbia       149, asyut          74, monufia        50, luxor          26	eg    2775	nile_basin    2775	cairo         2230, alexandria     423, beni_suef      348, minya          137	cairo         2230, alexandria     423, beni_suef      348, minya          137	eg    5704	nile_basin    5704
ldc_cts_lev_ara_td5_t_2006_t07	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC2006T07	corpus	manual	[nan]	[nan]	[nan, 'lb', 'sy', 'jo', 'ps']	['levant']	287191	35900	35898			lb    160801, jo     34880, ps     31131, sy      6323	levant    287191			lb    20167, jo     4381, ps     3870, sy      761	levant    35900			lb    19970, jo     4359, ps     3951, sy      777	levant    35898
ldc_cts_levarabic_td_2005_s14	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC2005S14	corpus	manual	[nan]	[nan]	['ps', 'lb', 'jo', 'sy']	['levant']	153688	19211	19211			lb    116839, ps     20103, jo     14119, sy      2627	levant    153688			lb    14567, ps     2554, jo     1739, sy      351	levant    19211			lb    14630, ps     2472, jo     1757, sy      352	levant    19211
ldc_la_cts_ann_2007_t04	['user_level']	['speech_transcript']	https://catalog.ldc.upenn.edu/LDC2007T04	corpus	manual	[nan]	[nan]	['jo', 'lb', 'ps', 'sy', 'iq', 'ye', nan]	['levant', 'iraq', 'gulf_aden']	48884	6112	6110			jo    29564, lb     7693, ps     7427, sy     3818, iq      378, ye        3	levant       48503, iraq           378, gulf_aden        3			jo    3719, lb     971, ps     918, sy     465, iq      39	levant    6073, iraq        39			jo    3702, lb     943, ps     920, sy     511, iq      34	levant    6076, iraq        34
madar_corpus6_extra	['manual_translation']	['travel_domain']	https://camel.abudhabi.nyu.edu/madar-shared-task-2019/	corpus	original	['beirut', 'doha', 'msa', 'cairo', 'tunis', 'rabat']	['beirut', 'ad_dawhah', 'msa', 'cairo', 'tunis', 'rabat_sale_kenitra']	['lb', 'qa', 'msa', 'eg', 'tn', 'ma']	['levant', 'gulf', 'msa', 'nile_basin', 'maghreb']	47832	0	0	beirut    7972, msa       7972, rabat     7972, tunis     7972, cairo     7972, doha      7972	beirut                7972, msa                   7972, rabat_sale_kenitra    7972, tunis                 7972, ad_dawhah             7972, cairo                 7972	msa    7972, lb     7972, eg     7972, tn     7972, qa     7972, ma     7972	maghreb       15944, msa            7972, levant         7972, nile_basin     7972, gulf           7972								
madar_shared_task1	['manual_translation']	['travel_domain']	https://camel.abudhabi.nyu.edu/madar-shared-task-2019/	corpus	original	['rabat', 'msa', 'beirut', 'doha', 'cairo', 'tunis', 'damascus', 'sanaa', 'amman', 'jeddah', 'baghdad', 'aswan', 'khartoum', 'mosul', 'sfax', 'basra', 'fes', 'alexandria', 'tripoli', 'aleppo', 'jerusalem', 'salt', 'algiers', 'benghazi', 'riyadh', 'muscat']	['rabat_sale_kenitra', 'msa', 'beirut', 'ad_dawhah', 'cairo', 'tunis', 'damascus', 'sanaa', 'amman', 'makkah', 'baghdad', 'aswan', 'khartoum', 'nineveh', 'sfax', 'basra', 'fes_meknes', 'alexandria', 'north_lebanon', 'aleppo', 'west_bank', 'balqa', 'algiers', 'benghazi', 'riyadh', 'muscat']	['ma', 'msa', 'lb', 'qa', 'eg', 'tn', 'sy', 'ye', 'jo', 'sa', 'iq', 'sd', 'ps', 'dz', 'ly', 'om']	['maghreb', 'msa', 'levant', 'gulf', 'nile_basin', 'gulf_aden', 'iraq']	95600	5200	11200	msa           10600, rabat         10600, tunis         10600, cairo         10600, doha          10600, beirut        10600, basra          1600, algiers        1600, baghdad        1600, mosul          1600, benghazi       1600, sfax           1600, aleppo         1600, sanaa          1600, jerusalem      1600, tripoli        1600, jeddah         1600, muscat         1600, fes            1600, salt           1600, aswan          1600, amman          1600, damascus       1600, alexandria     1600, riyadh         1600, khartoum       1600	cairo                 10600, beirut                10600, msa                   10600, rabat_sale_kenitra    10600, tunis                 10600, ad_dawhah             10600, balqa                  1600, baghdad                1600, fes_meknes             1600, benghazi               1600, sfax                   1600, aleppo                 1600, sanaa                  1600, algiers                1600, muscat                 1600, basra                  1600, aswan                  1600, north_lebanon          1600, amman                  1600, damascus               1600, makkah                 1600, nineveh                1600, alexandria             1600, riyadh                 1600, west_bank              1600, khartoum               1600	eg     13800, lb     12200, tn     12200, ma     12200, msa    10600, qa     10600, iq      4800, sy      3200, sa      3200, jo      3200, sd      1600, ps      1600, ye      1600, om      1600, ly      1600, dz      1600	maghreb       27600, levant        20200, gulf          15400, nile_basin    15400, msa           10600, iraq           4800, gulf_aden      1600	aswan         200, rabat         200, cairo         200, jerusalem     200, alexandria    200, damascus      200, mosul         200, beirut        200, fes           200, salt          200, amman         200, tripoli       200, msa           200, jeddah        200, doha          200, aleppo        200, algiers       200, tunis         200, benghazi      200, khartoum      200, baghdad       200, sfax          200, muscat        200, riyadh        200, basra         200, sanaa         200	makkah                200, aswan                 200, sanaa                 200, cairo                 200, nineveh               200, alexandria            200, damascus              200, beirut                200, fes_meknes            200, amman                 200, north_lebanon         200, msa                   200, aleppo                200, algiers               200, west_bank             200, tunis                 200, benghazi              200, khartoum              200, balqa                 200, baghdad               200, sfax                  200, muscat                200, riyadh                200, basra                 200, rabat_sale_kenitra    200, ad_dawhah             200	iq     600, eg     600, sa     400, jo     400, ma     400, tn     400, lb     400, sy     400, ps     200, ly     200, om     200, dz     200, msa    200, qa     200, ye     200, sd     200	levant        1400, maghreb       1200, gulf           800, nile_basin     800, iraq           600, msa            200, gulf_aden      200	rabat         1200, tunis         1200, msa           1200, doha          1200, beirut        1200, cairo         1200, muscat         200, salt           200, tripoli        200, algiers        200, benghazi       200, khartoum       200, baghdad        200, sfax           200, aswan          200, riyadh         200, basra          200, sanaa          200, jerusalem      200, alexandria     200, mosul          200, fes            200, amman          200, jeddah         200, aleppo         200, damascus       200	rabat_sale_kenitra    1200, msa                   1200, beirut                1200, cairo                 1200, ad_dawhah             1200, tunis                 1200, muscat                 200, fes_meknes             200, algiers                200, west_bank              200, benghazi               200, khartoum               200, balqa                  200, baghdad                200, sfax                   200, basra                  200, riyadh                 200, aswan                  200, makkah                 200, sanaa                  200, nineveh                200, alexandria             200, amman                  200, north_lebanon          200, aleppo                 200, damascus               200	eg     1600, tn     1400, ma     1400, lb     1400, msa    1200, qa     1200, iq      600, sa      400, sy      400, jo      400, om      200, ye      200, ps      200, ly      200, dz      200, sd      200	maghreb       3200, levant        2400, gulf          1800, nile_basin    1800, msa           1200, iraq           600, gulf_aden      200
madar_shared_task2	['user_level']	['twitter']	https://camel.abudhabi.nyu.edu/madar-shared-task-2019/	corpus	original	['msa', 'muscat', 'riyadh', 'sfax', 'damascus', 'amman', 'jeddah', 'algiers', 'benghazi', 'cairo', 'baghdad', 'tripoli', 'sanaa', 'salt', 'aleppo', 'doha', 'aswan', 'khartoum', 'beirut', 'fes', 'jerusalem', 'basra', 'tunis', 'rabat', 'mosul', 'alexandria']	['msa', 'muscat', 'riyadh', 'sfax', 'damascus', 'amman', 'makkah', 'algiers', 'benghazi', 'cairo', 'baghdad', 'north_lebanon', 'sanaa', 'balqa', 'aleppo', 'ad_dawhah', 'aswan', 'khartoum', 'beirut', 'fes_meknes', 'west_bank', 'basra', 'tunis', 'rabat_sale_kenitra', 'nineveh', 'alexandria']	['msa', 'om', 'sa', 'tn', 'sy', 'jo', 'dz', 'ly', 'eg', 'iq', 'lb', 'ye', 'qa', 'sd', 'ma', 'ps']	['msa', 'gulf', 'maghreb', 'levant', 'nile_basin', 'iraq', 'gulf_aden']	137104	31451	18966	msa           34507, muscat        22431, riyadh        15131, doha           8004, aleppo         6415, jeddah         6085, khartoum       4824, amman          3691, sanaa          3690, salt           3366, benghazi       3049, cairo          2814, algiers        2524, sfax           2400, damascus       2314, baghdad        2160, tripoli        2080, aswan          1968, jerusalem      1876, basra          1825, tunis          1744, beirut         1361, alexandria      828, rabat           787, mosul           682, fes             548	msa                   34507, muscat                22431, riyadh                15131, ad_dawhah              8004, aleppo                 6415, makkah                 6085, khartoum               4824, amman                  3691, sanaa                  3690, balqa                  3366, benghazi               3049, cairo                  2814, algiers                2524, sfax                   2400, damascus               2314, baghdad                2160, north_lebanon          2080, aswan                  1968, west_bank              1876, basra                  1825, tunis                  1744, beirut                 1361, alexandria              828, rabat_sale_kenitra      787, nineveh                 682, fes_meknes              548	msa    34507, om     22431, sa     21216, sy      8729, qa      8004, jo      7057, eg      5610, sd      4824, iq      4667, tn      4144, ye      3690, lb      3441, ly      3049, dz      2524, ps      1876, ma      1335	gulf          51651, msa           34507, levant        21103, maghreb       11052, nile_basin    10434, iraq           4667, gulf_aden      3690	msa           7907, muscat        5150, riyadh        3488, doha          1758, aleppo        1559, jeddah        1363, khartoum      1123, amman          878, sanaa          776, benghazi       768, salt           729, cairo          623, algiers        612, damascus       535, tripoli        526, sfax           518, basra          471, aswan          453, baghdad        450, jerusalem      438, tunis          377, beirut         292, alexandria     206, rabat          173, mosul          167, fes            111	msa                   7907, muscat                5150, riyadh                3488, ad_dawhah             1758, aleppo                1559, makkah                1363, khartoum              1123, amman                  878, sanaa                  776, benghazi               768, balqa                  729, cairo                  623, algiers                612, damascus               535, north_lebanon          526, sfax                   518, basra                  471, aswan                  453, baghdad                450, west_bank              438, tunis                  377, beirut                 292, alexandria             206, rabat_sale_kenitra     173, nineveh                167, fes_meknes             111	msa    7907, om     5150, sa     4851, sy     2094, qa     1758, jo     1607, eg     1282, sd     1123, iq     1088, tn      895, lb      818, ye      776, ly      768, dz      612, ps      438, ma      284	gulf          11759, msa            7907, levant         4957, maghreb        2559, nile_basin     2405, iraq           1088, gulf_aden       776	msa           4567, muscat        3062, riyadh        2103, doha          1147, jeddah         835, aleppo         812, khartoum       713, sanaa          504, benghazi       498, salt           485, cairo          440, amman          439, algiers        366, sfax           359, damascus       356, tripoli        334, baghdad        322, jerusalem      266, tunis          257, aswan          255, basra          244, beirut         176, alexandria     130, mosul          103, rabat          103, fes             90	msa                   4567, muscat                3062, riyadh                2103, ad_dawhah             1147, makkah                 835, aleppo                 812, khartoum               713, sanaa                  504, benghazi               498, balqa                  485, cairo                  440, amman                  439, algiers                366, sfax                   359, damascus               356, north_lebanon          334, baghdad                322, west_bank              266, tunis                  257, aswan                  255, basra                  244, beirut                 176, alexandria             130, nineveh                103, rabat_sale_kenitra     103, fes_meknes              90	msa    4567, om     3062, sa     2938, sy     1168, qa     1147, jo      924, eg      825, sd      713, iq      669, tn      616, lb      510, ye      504, ly      498, dz      366, ps      266, ma      193	gulf          7147, msa           4567, levant        2868, maghreb       1673, nile_basin    1538, iraq           669, gulf_aden      504
multi_dialect_multi_genre_informal_corpus/news	['mechanical_turk_annotators']	['news_comments']	https://github.com/ryancotterell/arabic_dialect_annotation	corpus	manual	[nan, 'msa']	[nan, 'msa']	['eg', 'iq', 'msa', nan]	['nile_basin', 'iraq', 'msa', 'levant', 'maghreb', 'gulf']	72516	9069	9062	msa    51070	msa    51070	msa    51070, eg      7140, iq       203	msa           51070, nile_basin     7140, maghreb        5211, gulf           5044, levant         3848, iraq            203	msa    6385	msa    6385	msa    6385, eg      893, iq       26	msa           6385, nile_basin     893, maghreb        652, gulf           632, levant         481, iraq            26	msa    6383	msa    6383	msa    6383, eg      892, iq       25	msa           6383, nile_basin     892, maghreb        651, gulf           630, levant         481, iraq            25
multi_dialect_multi_genre_informal_corpus/twitter	['mechanical_turk_annotators']	['twitter']	https://github.com/ryancotterell/arabic_dialect_annotation	corpus	manual	[nan]	[nan]	['eg', nan, 'iq']	['nile_basin', 'levant', 'iraq', 'maghreb', 'gulf']	32242	4034	4029			eg    1642, iq     180	gulf          29064, nile_basin     1642, levant         1276, iraq            180, maghreb          80			eg    206, iq     24	gulf          3634, nile_basin     206, levant         160, iraq            24, maghreb         10			eg    205, iq     22	gulf          3633, nile_basin     205, levant         159, iraq            22, maghreb         10
multi_dialect_parallel_corpus	['manual_translation']	['ldc_mixed']	https://www.aclweb.org/anthology/L14-1435/	corpus	manual	['msa', nan]	['msa', nan]	['msa', 'sy', 'ps', 'jo', 'eg', 'tn']	['msa', 'levant', 'nile_basin', 'maghreb']	4784	600	597	msa    800	msa    800	sy     800, eg     800, tn     800, msa    800, jo     798, ps     786	levant        2384, msa            800, maghreb        800, nile_basin     800	msa    100	msa    100	jo     101, tn     100, sy     100, msa    100, eg     100, ps      99	levant        300, msa           100, maghreb       100, nile_basin    100	msa    100	msa    100	tn     100, sy     100, msa    100, eg     100, jo      99, ps      98	levant        297, msa           100, maghreb       100, nile_basin    100
nadi	['user_level']	['twitter']	https://sites.google.com/view/nadi-shared-task	corpus	original	[nan]	['alexandria', 'maysan', 'oriental', 'jabal_al_akhdar', 'fujairah', 'ismailia', 'baghdad', 'dakahlia', 'nouakchott', 'qena', 'marrakesh-safi', 'tabuk', 'asyut', 'karbala', 'capital', 'damascus', 'najran', 'djibouti', 'akkar', 'musandam', 'gaza', 'oran', 'banadir', 'al_suwayda', 'faiyum', 'aqaba', 'cairo', 'north_lebanon', 'al_anbar', 'port_said', 'monufia', 'sousse', 'beheira', 'ash_sharqiyyah', 'gharbia', 'ras_al_khaimah', 'minya', 'al_batinah', 'jahra', 'jijel', 'bechar', 'sohag', 'homs', 'najaf', 'south_lebanon', 'aswan', 'ibb', 'duhok', 'aleppo', 'muthanna', 'bordj_bou_arreridj', 'tripoli', 'dhamar', 'misrata', 'ariana', 'meknes_tafilalet', 'wasit', 'hail', 'jizan', 'al_quassim', 'muscat', 'butnan', 'beni_suef', 'dubai', 'suez', 'benghazi', 'red_sea', 'north_sinai', 'khartoum', 'south_sinai', 'mahdia', 'tanger_tetouan', 'abu_dhabi', 'dhofar', 'sulaymaniyah', 'basra', 'ad_dakhiliyah', 'khenchela', 'zarqa', 'erbil', 'al_madinah', 'kafr_el_sheikh', 'riyadh', 'hawalli', 'ouargla', 'al_hudaydah', 'kairouan', 'west_bank', 'al_rayyan', 'asir', 'souss_massa', 'nineveh', 'luxor', 'latakia', 'makkah', 'ash_sharqiyah', 'aden', 'bouira', 'umm_al_quwain', 'doha', nan]	['eg', 'iq', 'ma', 'ly', 'ae', 'mr', 'sa', 'bh', 'sy', 'dj', 'lb', 'om', 'ps', 'dz', 'so', 'jo', 'tn', 'kw', 'ye', 'sd', 'qa', nan]	['nile_basin', 'iraq', 'maghreb', 'gulf', 'levant', 'gulf_aden', nan]	20999	4999	4956		ash_sharqiyyah    395, latakia           214, tripoli           214, marrakesh-safi    214, butnan            214,                  ... , capital           210, djibouti          210, kairouan          114, ash_sharqiyah      32, doha               24	eg    4473, iq    2555, sa    2312, dz    1491, om    1098, ma    1070, sy    1070, ly    1070, ae    1070, ye     851, tn     750, lb     639, jo     426, kw     420, ps     420, qa     234, dj     210, so     210, bh     210, sd     210, mr     210	gulf          5344, nile_basin    4893, maghreb       4591, iraq          2555, levant        2555, gulf_aden     1061						ash_sharqiyyah    97, asir              54, al_madinah        54, makkah            54, riyadh            54,                   .., cairo             10, ash_sharqiyah     10, capital            8, kairouan           8, akkar              6	eg    1070, iq     635, sa     579, dz     359, sy     265, ly     265, ae     265, ma     249, om     249, ye     206, tn     164, lb     110, jo     104, qa     104, ps     102, kw      70, sd      51, so      51, mr      40, dj      10, bh       8	gulf          1275, nile_basin    1172, maghreb       1077, iraq           635, levant         581, gulf_aden      216
padic	['manual_translation']	['speech_transcript']	https://hal.archives-ouvertes.fr/hal-01718858	corpus	manual	[nan, 'msa']	['annaba', nan, 'algiers', 'msa']	['dz', 'ps', 'ma', 'tn', 'sy', 'msa']	['maghreb', 'levant', nan, 'msa']	35882	4492	4482	msa    5128	algiers    5128, msa        5128, annaba     5127	dz     10255, msa     5128, tn      5126, ps      5125, sy      5124, ma      5124	maghreb    15379, levant     10249, msa         5128	msa    642	annaba     642, msa        642, algiers    641	dz     1283, ps      642, sy      642, tn      642, msa     642, ma      641	maghreb    1924, levant     1284, msa         642	msa    641	algiers    641, msa        641, annaba     640	dz     1281, msa     641, ps      640, sy      640, ma      640, tn      640	maghreb    1921, levant     1280, msa         641
qadi	['user_level']	['twitter']	http://alt.qcri.org/resources/qadi/	corpus	original	[nan]	[nan]	['lb', 'jo', 'eg', 'iq', 'tn', 'kw', 'sd', 'ye', 'ma', 'bh', 'ps', 'om', 'qa', 'ly', 'ae', 'sa', 'dz', 'sy', 'msa']	['levant', 'nile_basin', 'iraq', 'maghreb', 'gulf', 'gulf_aden', 'msa']	496463	3499	0			eg    60495, kw    46851, ps    44248, ly    37436, qa    33805, lb    33270, jo    32197, sa    29425, ae    27694, bh    26926, om    22530, iq    17214, dz    17027, sy    16888, sd    15959, tn    12585, ma    11110, ye    10803	gulf          187231, levant        164039, nile_basin     76454, maghreb        40722, iraq           17214, gulf_aden      10803			msa    200, eg     199, qa     198, sa     198, sy     194, lb     194, ye     193, ae     192, kw     190, sd     188, bh     184, jo     180, iq     178, ma     178, ps     171, dz     170, ly     169, om     169, tn     154	gulf          1131, levant         908, maghreb        502, nile_basin     387, msa            200, gulf_aden      193, iraq           178				
shami	['semi_automatic']	['web_mixed']	https://www.aclweb.org/anthology/L18-1576/	corpus	manual	[nan]	[nan]	['lb', 'sy', 'jo', 'ps']	['levant']	52996	6629	6622			sy    30207, lb     8663, ps     8513, jo     5613	levant    52996			sy    3777, lb    1084, ps    1065, jo     703	levant    6629			sy    3775, lb    1082, ps    1064, jo     701	levant    6622
suar	['speech_transcript', 'manual_search', 'informal_message', 'user_level', 'hashtag_level']	['youtube_transcript', 'blog', 'forum', 'whatsapp', 'instagram', 'twitter']	https://www.sciencedirect.com/science/article/pii/S187705091832163X	corpus	manual	[nan]	['gulf,najd', 'hijaz,najd', 'najd']	['sa']	['gulf']	8815	1157	1078		najd          5937, hijaz,najd    1873, gulf,najd     1005	sa    8815	gulf    8815		najd          756, hijaz,najd    267, gulf,najd     134	sa    1157	gulf    1157		najd          735, hijaz,najd    221, gulf,najd     122	sa    1078	gulf    1078
youdacc	['user_level']	['youtube_comments']	https://www.aclweb.org/anthology/L14-1456/	corpus	original	[nan, 'msa']	[nan, 'msa']	['iq', nan, 'msa', 'eg']	['iraq', 'gulf', 'msa', 'levant', 'nile_basin']	504794	5000	0	msa    135498	msa    135498	msa    135498, eg      78889, iq      68339	gulf          190524, msa           135498, nile_basin     78889, iraq           68339, levant         31544	msa    1000	msa    1000	iq     1000, eg     1000, msa    1000	gulf          1000, iraq          1000, levant        1000, msa           1000, nile_basin    1000				
